mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__batch_size,param_model__lr,param_model__module__dropout,param_model__module__hidden_dim,param_select__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
28.5409556388855,1.2594621390471046,0.22832932472229003,0.09077307710498597,512,0.004999999999999999,0.3,256,64,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.004999999999999999), ('model__module__dropout', 0.3), ('model__module__hidden_dim', 256), ('select__k', 64)])",0.6037360877374518,0.8259278211098762,0.6949967054056575,0.9139066802521777,0.8438328345683431,0.7764800258147012,0.11166697838103727,14
30.971148777008057,3.7950846950143258,0.2226698875427246,0.08644271979163443,512,0.004955099108471739,0.21991944860043297,128,64,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.004955099108471739), ('model__module__dropout', 0.21991944860043297), ('model__module__hidden_dim', 128), ('select__k', 64)])",0.6047322824648094,0.8440803917834132,0.732641466866341,0.861590394794827,0.8912050813493388,0.786849923451746,0.10569470702537369,12
27.99694905281067,1.0727993190128398,0.1706838607788086,0.03940055374052271,512,0.00496977007322704,0.23528110287085832,256,64,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.00496977007322704), ('model__module__dropout', 0.23528110287085832), ('model__module__hidden_dim', 256), ('select__k', 64)])",0.6052447733288421,0.8013019129501995,0.9753419839221544,0.9846815020822735,0.8287220508547467,0.8390584446276433,0.13854999642860705,2
29.597270202636718,2.6666012285284024,0.22424583435058593,0.028182795120547766,512,0.00499949059174907,0.10448516832453908,256,64,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.00499949059174907), ('model__module__dropout', 0.10448516832453908), ('model__module__hidden_dim', 256), ('select__k', 64)])",0.6066536815915917,0.8604947576413672,0.6968614153112624,0.9918235184979056,0.8916811639070186,0.809502907389829,0.13887415455420984,5
24.231141090393066,0.16463348441313946,0.1930938720703125,0.020564202765727516,512,0.0005038255670694223,0.2048103159811094,128,64,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.0005038255670694223), ('model__module__dropout', 0.2048103159811094), ('model__module__hidden_dim', 128), ('select__k', 64)])",0.6026469920469469,0.8218794514107658,0.689961229251402,0.9153293281146926,0.8025683845697005,0.7664770770787015,0.10883379064129312,23
29.56656093597412,0.9989355649004813,0.28389439582824705,0.058116712604391524,256,0.004989118406893115,0.25081180986908963,128,64,"OrderedDict([('model__batch_size', 256), ('model__lr', 0.004989118406893115), ('model__module__dropout', 0.25081180986908963), ('model__module__hidden_dim', 128), ('select__k', 64)])",0.6053386385448202,0.8444228406233457,0.696126303023551,0.7706200489801037,0.8869099839345138,0.7606835630212668,0.10133488548580097,33
26.485946321487425,0.5433731174095988,0.1568380832672119,0.042505837489048924,512,0.004987821742047763,0.29408445582152215,128,64,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.004987821742047763), ('model__module__dropout', 0.29408445582152215), ('model__module__hidden_dim', 128), ('select__k', 64)])",0.6049518951010905,0.8194004814304667,0.6978854257169391,0.7980491002147238,0.8928644370109534,0.7626302678948347,0.10049144587344244,28
28.484021997451784,1.369973486636908,0.19276576042175292,0.045697329981803196,512,0.0005003655001657565,0.16597566760387825,256,64,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.0005003655001657565), ('model__module__dropout', 0.16597566760387825), ('model__module__hidden_dim', 256), ('select__k', 64)])",0.6045526328977828,0.8097964119169176,0.697099972104841,0.8627175413697973,0.8918211383941144,0.7731975393366908,0.10738418011781937,16
26.273007774353026,0.45917840959401296,0.21833462715148927,0.058790544543857556,512,0.004973781266786636,0.1365121962791624,256,64,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.004973781266786636), ('model__module__dropout', 0.1365121962791624), ('model__module__hidden_dim', 256), ('select__k', 64)])",0.6031746717717654,0.8511395449730388,0.6966039169979599,0.9877017159823476,0.891814081480734,0.8060867862411693,0.13821919387661527,8
45.50786304473877,2.305199676140806,0.26925344467163087,0.07088051344617606,128,0.004941520159589644,0.266319574025479,256,64,"OrderedDict([('model__batch_size', 128), ('model__lr', 0.004941520159589644), ('model__module__dropout', 0.266319574025479), ('model__module__hidden_dim', 256), ('select__k', 64)])",0.5986334814602395,0.8286797869627552,0.6952454417271507,0.7841074772792459,0.7895031704088425,0.7392338715676467,0.08275828216511233,46
24.034783554077148,0.10220864962828355,0.166796875,0.02081509446386719,512,0.000500607769473746,0.11223060368624578,128,64,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.000500607769473746), ('model__module__dropout', 0.11223060368624578), ('model__module__hidden_dim', 128), ('select__k', 64)])",0.603151729538841,0.8351279371053938,0.7934429624830185,0.8697272154273857,0.8297812188387556,0.786246212678679,0.09468809907079923,13
23.89010896682739,0.20299203970182678,0.1658689022064209,0.028150166664873914,512,0.0005042664066615916,0.2909494058787341,256,64,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.0005042664066615916), ('model__module__dropout', 0.2909494058787341), ('model__module__hidden_dim', 256), ('select__k', 64)])",0.6035215090558445,0.8140913151555398,0.7529950524300977,0.9539287719036923,0.8197179847894845,0.7888509266669317,0.11355455448863444,11
26.325490760803223,0.9266390031230339,0.15728144645690917,0.035566289282949554,512,0.004987971296734535,0.16774216543626908,256,64,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.004987971296734535), ('model__module__dropout', 0.16774216543626908), ('model__module__hidden_dim', 256), ('select__k', 64)])",0.6026965234416616,0.7819377284562049,0.7028781223001099,0.7725731475968485,0.7535112409814545,0.7227193525552559,0.06593862486239073,55
33.39742121696472,3.999800814971854,0.20579051971435547,0.060279869973096575,256,0.0005000359380341084,0.13097266254036102,256,64,"OrderedDict([('model__batch_size', 256), ('model__lr', 0.0005000359380341084), ('model__module__dropout', 0.13097266254036102), ('model__module__hidden_dim', 256), ('select__k', 64)])",0.6028702596587316,0.8250728443301523,0.7108270821597685,0.8202846448463927,0.8927971840662677,0.7703704030122627,0.10205274168277398,19
43.48131809234619,0.8269659004085349,0.28543705940246583,0.06505520005459027,128,0.000500217716992244,0.21465827382675895,256,64,"OrderedDict([('model__batch_size', 128), ('model__lr', 0.000500217716992244), ('model__module__dropout', 0.21465827382675895), ('model__module__hidden_dim', 256), ('select__k', 64)])",0.6035348910410346,0.818087206828758,0.6973837412337541,0.990242417406809,0.6933695376446206,0.7605235588309952,0.1335859786791747,34
24.853114938735963,0.8536942203356921,0.22446126937866212,0.05866532783925332,512,0.004999999999999999,0.3,128,64,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.004999999999999999), ('model__module__dropout', 0.3), ('model__module__hidden_dim', 128), ('select__k', 64)])",0.6049531672788127,0.8332408111896359,0.6909947073653417,0.7677184712050154,0.6871799521126531,0.7168174218302917,0.0777227457792452,57
